Topic,Count,Name,Representation,Representative_Docs
-1,63,-1_woodchipper_wood_chipper_andytuber5,"['woodchipper', 'wood', 'chipper', 'andytuber5', 'goosbake', 'cornudo', 'bakaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', 'bullyvergxn', 'chidori', 'banana']","['Woodchipper.', 'WOODCHIPPER', 'Woodchipper']"
0,1080,0_this_you_to_the,"['this', 'you', 'to', 'the', 'and', 'people', 'these', 'of', 'is', 'for']","[""The number of child traffickers, in the US alone, would blow our minds. But in order to have them make billions, each year, just imagine how many SICK F@CKS are lined up, paying to abuse children. How many hundreds of thousands are missing, just from the illegal crossings into the US? And the powerful people that kept our borders open, JUST for that reason. Obviously people powerful enough to let almost 20 NAMED clients of Epstein to be protected. Then, on top of your everyday pee-dough, add the adrenochrome consumers, the ritualistic sacrifices and the monsters who abuse babies (and have been reported to break their ribs while abusing them). We have to be walking past these f@ckers on a daily basis, and have no clue. That's JUST In the US, where we supposedly have laws and morals, so imagine how much worse it is, in the countries with less scrutiny. I'd say God isn't far, from shutting this whole thing down, I pray he does soon, for these children's sake ."", 'Lol you do a great job of coming off as non-aggressive and making these guys feel like they can trust you. This guy really thought you were just there to talk with him. And what a dumbass, when he spoke to the girls ""dad"" he thought it would be ok for him to ""get to know"" his daughter and ""hang out"" with her. He asked if if he could and he was waiting for an answer....what a dumb, sick f*ck. Good job getting these sickos off the streets.', ""I do not enjoy these videos so I rarely get them in my recommendations. I got this one and watched it. Thank you for what you are doing. it is unfortunate that these crimes are committed almost effortlessly. These men are sick in their heads and treatment is not effective over their drive, obsession and addiction. They seem to stick together in these rings and the big money rolls around I'm sure its so sad and it will continue as these kids grow up and offend themselves. It's a revolving door,it's an addiction and a disease. We need to focus like you said un identifying these babies and children who are being abused to hopefully get them the proper help as young as it is possible. It is impossible to relate to the p3dos and I think the crimes are not taken serious. I wonder how many kids this man has hurt in the last 2 yrs running free while the feds twiddle there thumbs trying to get to the kings while all the pawns run free to continue trying to become the king. What's up with all the teachers lately. The females obviously suffer from this as well. Thanks again""]"
1,1044,1_epstein_worse_than_is,"['epstein', 'worse', 'than', 'is', 'the', 'he', 'this', 'of', 'not', 'and']","['Worse than Epstein? ➡️', 'WORSE THAN EPSTEIN!?', 'WORSE THAN EPSTEIN????']"
2,785,2_the_to_they_and,"['the', 'to', 'they', 'and', 'of', 'it', 'in', 'that', 'him', 'for']","['I dont know how i feel about this video and how dude intrapped him like that.  The ph was totally in the wrong and wasnt right. But the way they leaded him on and everything. That may not stand in court believe it or not AND that the  kinda stuff that gets cases thrown out. They should just let the police deal with it. Because you probably just knocked so many years of dude going to jail by doing this. Like you think since the feds are picking up the charges is a big win for you now but qait till the case goes to trail. This maybe his ticket out of going to jail for a long long time. It sad to see the system fail like this. But things are a way for a reason and poeple just cant take things into there own hands . They end making things sumtimes worst.', 'I just come across this video and I almost pushed send on message that I was gonna call you everything but a black man I was gonna call u a big black white boy !  lol when you said you used to go to work and go in the washroom, that’s not true right? I’m from the prison system and we don’t play that ask questions thing. We give them a beating so bad it’s crazy I seen a Jamaican guy get his head kicked through the bars , and let me tell you your head doesn’t fit in between the bars!!  lol a goof who calls himself king in the Don jail was on the front cover of the newspaper with headlines saying “man beats gun charges but sent to trial for rape of a minor “ and he was bragging about how this happened to his people and he was asked about and then started beating his chest screaming “ do something “ and so they did. They had to cut his head out and I bet you anything he never did any rapehound shit again no did he! They should be put down . This guy was getting excited about having a 13 year old girlfriend so he can’t be fixed and why pay to feed and house him because it’s expensive. If they admit it have caught doing anything with kids being involved then they should be hung. That’s it that’s all why I let this guy out to do it again cause he will and what’s crazy as they get bail all the time. I’ll bet you this guy’s out on bail already in America’s crazy everyone get a bail not in Canada you have to prove why you should be let out When is a second offence first defence the crown has to prove why you shouldn’t be let out there’s a difference', 'Yeah spectrum is more for drug’s and booze not CP this fing guy needs to be given two choices,\n#1.jump or #2.Burn !\nThis way we don’t have to push him and then have his death on our soul that we have to answer for when we meat Jesus ..\nIf it meant one kid not being hurt I would gladly answer to god come what may but if I can get him to believe that I mean business to get him to jump I’ll do my best and if he’s stubborn and tries to cling to life then so be it I’ll strike that match.\nAs human beings we all need to start pretending all kids are our own kids and start doing the hard things we shy away from to keep all kids safe or this will never stop .\nWe all have choices to make and as easy as it is to choose goodness this peace of garbage chooses to be filthy and call it addiction which is nonsense,\nHe calls his love for cp an addiction so he’s got an excuse to continue making the wrong choices because it makes him feel good to be evil and foul and we need him and others like him scared shtless of getting busted and the only way to do it is to hold the ones we do get accountable in public when we make them suicide or else we peel there skin off till they do and perhaps this will slow them down .\nIf these monsters refuse to pump the brakes then we need to start doing it for them because it’s only getting worse as the years go on and I don’t see any other way to stop it . modern technology has given them the tools to take there perversions to the ultimate conclusions and beyond humanity.\nWe as good humans need to start   Fighting this cancer.\nI live in fear someone will do this to someone I love and what I would have to do in response and it terrifies me because after it’s happened all my choices will have been taken,all but one and I wouldn’t be able to live in a world with the monster who hurts my loved ones if he’s still sucking air and prison will only put him out of my reach and this I could never allow no matter what the punishment would be I would have to end that monster at any price .\nThey are among us and they look like this guy.\nIf you didn’t know this man and he was sitting two seats over at a McDonald’s watching the children of your life you would never know there was a monster sitting there and it’s because we allow them to live for fear of the consequences if we end them and even putting them on the radar they don’t get punished the way they need to so they just keep on offending and they are getting more and more fearless because we allow them to.\nAt some point this monster is going to get board just watching and he will up his game and start acting his perversions out in real life,then after a while he will get board again and take it to the next level until he reaches the very bottom until he’s taken it as far as his perversion goes and he’s making snuff cp and has lost all control and it will be your kid he does it to.\nOnly evil will end this kind of evil and we need to come to terms with this horrible truth before it’s too late .\nOr I could be wrong and you don’t mind  this man sitting next to your children at a 3rd grade ball game because we allow him his rights above the rights and safety of our kids .\nOnly death will stop them so we need to start sending them straight to hell ,first class !\nIf we cut there dks off and make them need colostomy bags they won’t have the tools so these are the choices or death .\nKeeping them alive is no different than putting a rattlesnake in bed with your kids,if you let that snake live it will bite every chance you give it it will always bite because it’s a snake and it knows no better.\nWe don’t just put these men in prison and never hear from them again ,if we put them in prison it is at our own expense as we have to pay for them to eat,so they grape and kill our kids then choose prison for them over death and then pay for them for the rest of there lives in prison which means we litelry pay them for them graping our baby’s which is a ball punch like no other .\nMake it make sense!']"
3,585,3_title_bro_crazy_the,"['title', 'bro', 'crazy', 'the', 'is', 'what', 'this', 'wtf', 'insane', 'was']","['What a title', 'crazy title bro', 'Bro crazy title']"
4,494,4_he_that_the_is,"['he', 'that', 'the', 'is', 'me', 'said', 'my', 'early', 'like', 'and']","['15:06 that shi got me mad bro really said 9 on a scale 1-10 bro what makes a guy this down bad bro. Like how and why. Shi makes me sick to my stomach', ""I also found a pred but a women pred on the bus here is the story, I was on the bus with my sister when we hopped on the bus there was a women that complemented my sister outfit and said that she beautiful and my sister said thanks then she said couple minutes after that but I lowk forgot what the girl (pred) said anyways after like 10 minutes she asked what is my sister name and my sister said her name and then 5 minutes later she said this to me that do i ever think about my sister being my girlfriend and my sister said that's weird cus that is weird asf and the pred said she will be my girlfriend like what the fuck I am 14 btw, and my sister told the pred that I am a minor and the pred said even better after my sister said that I'm a minor, and they keep talking about that's, my sister had it on video and then before the pred left she sat by this dude and said that she watches cheese pizza ifykyk,  and my sister looked at me and we both look like we was gonna throw up cus that's weird and it's nothing to joke around and I know she wasn't joking about it , also the pred was dating a very old man prob like in his 60-80 and she probably like 30-39 so please come to my city and stop this pred 😢"", 'So I have a crazy story not really crazy but its still wild. so one day on my snap i seen someone add me i added them back never talked to them until i seen a message from them after i posted on my snap my face shows im young i look younger hem my age which i am not a legal age and well he sent me a dihhh pick. I was shocked but I saved it in chat just in case. the next day or two he sends me his instagram and turns out he\'s a pastor.  nasty I know, but i thought i blocked him but i guess i didn\'t anyways i posted a photo of me with a pillow stuffed in my shirt and he sent me a test saying"" if you want e to get you pregnant i could"" I sent him a message of me saying my age recntly and he hasn\'t replyed yet but yeah']"
5,474,5_work_you_your_video,"['work', 'you', 'your', 'video', 'god', 'thank', 'the', 'keep', 'doing', 'for']","['Keep up the good work', 'Love u bro keep up the work God bless❤️', ""You are doing God's work brother. Thank you!""]"
6,410,6_jidion_you_the_work,"['jidion', 'you', 'the', 'work', 'to', 'and', 'is', 'your', 'love', 'for']","['W jidion', 'W Jidion', 'jidion ❤❤❤❤❤❤']"
7,326,7_buffalo_from_ny_live,"['buffalo', 'from', 'ny', 'live', 'my', 'in', 'this', 'im', 'town', 'to']","['I live in Buffalo ny 😮', '2:08 I’M FROM BUFFALO NY….', ""I'm from Buffalo..""]"
8,237,8_thumbnail_tiktok_new_top,"['thumbnail', 'tiktok', 'new', 'top', 'instagram', 'thumbnails', 'gif', 'image', 'comment', 'generational']","['The thumbnail 😂', 'W thumbnail', 'W Thumbnail']"
