Topic,Count,Name,Representation,Representative_Docs
-1,272,-1_freeshcelp_tucker_freeschelep_freeshleep,"['freeshcelp', 'tucker', 'freeschelep', 'freeshleep', 'yesssss', 'yessir', 'wwwww', 'wwww', 'earlyyy', 'frerschlep']","['#FREESHCELP', '#freeshcelp 😢😢', 'FreeShcelp']"
0,19569,0_roblox_and_to_the,"['roblox', 'and', 'to', 'the', 'is', 'of', 'this', 'they', 'that', 'it']","['I\'m a 20 year old man who has been playing Roblox since 2015 (was actually playing for longer but my first account isn\'t available anymore so idk for exactly how long) Roblox then didn\'t have nearly as much ""protections"" as it does now since the internet wasn\'t as widely used as it is today, but it was STILL safer for children THEN than it is NOW. My baby cousin, who was younger than me when i first made my account, is possibly being exposed to this kind of content. It horrifies me to think the place me, my sister, my older and younger cousins grew up on is a place that harbors so many horrible people now. Back then, you couldn\'t even say numbers without the message being blocked. Now, you can openly have sexual avatars, sexual names, games advertising adult content. Don\'t even get me started on how Roblox makes you show an ID for age verification and i see many children online brag how they used fake IDs or their parents IDs to get past the system. I love Roblox, its been a part of my life for over a decade, but it\'s so disappointing what they\'re doing with the site now. Adults can play kids games, and there can be adult spaces WITH THE PROPER PROTECTIONS AND MORE STRICT GUIDELINES, but when there\'s adult content on the home page before you can even verify your age? its a problem.', 'and for ""child safety"" they decide to cut off chat for ONLY middle east people! there\'s so many other countries who get MOST of the problems! removing us chat does NOTHING except trying to make us leave, honestly what they prefer that we stop playing? i think that wasnt the right thing to do as in it barely affects the situation except making my experience worse and making me cry because i couldnt contact any of my friends and some just thought i ignored them and unfriended me.. i cried an entire day bc of this. I know Roblox is bad and i shouldnt even stay in it but i love my game i play, who barely gets that problem of safety btw and the community of it and developper team are so nice, and i dont want to leave all this just because roblox is being super bad! this game i play every day never did anything. and now i cant even chat with anyone, ive never felt so lonely in this platform until now', 'I remember when I was younger. Around 10-12, I dont really remember. (Im 17 now.) I had made this friend on Roblox through a survive the killer kind of game after I had saved him. Eventually I added him and we became friends. I didn\'t really assume he had any bad intentions because we never discussed anything personal. But, when I got further into the friendship he started asking questions to ""Get to know me better"" I assumed (Like the child I was) that he was just trying to become a better friend. We had shared our ages and legal names. After that he had started getting more demanding, and showered me with threats. apparently when i had given my name he used that to track me down on Google, and figured out where I lived. In games he would constantly harrass me and follow me around the map, demanding that I come with him or he would K!LL MY FAMILY!! I was obviously terrified and didn\'t know what to do. Luckily some people in chat had saw what was happening and had reported him. but that DID NOTHING. After a couple of months my mom realized something was wrong and took my devices away from me, eventually finding out what had happened through our previous texts. (He had threatened me into sharing contacts, using my family as leverage, and guilt tripping me into wondering if I was the problem here. to which I OBVIOUSLY WASNT.) A police report was filed and she had sent NUMEROUS phone calls and emails to Roblox, but NOTHING HAPPENED. My dad had also found out and quite literally brought a pew pew to the police station to get them to do SOMETHING. Not sure what to think of that lol, I honestly appreciate it to this day, because that helped somewhat. His account was banned and he had gone to court, but sadly there ""Wasnt enough evidence"" so his sentence was removed and he is probably free to this day. Im honestly disgusted as to how Roblox manages things, because just the thought of him being out there, probably manipulating other innocent children like I was, just pisses me off. I\'m definitely more careful now lol. I had to go to therapy for it, and ended up fine. Still, I think about it all the time. \nSorry for the yapfest']"
1,9439,1_free_schlep_freeschlep_schelp,"['free', 'schlep', 'freeschlep', 'schelp', 'schlepfree', 'you', 'shlep', 'we', 'the', 'and']","['Free SCHLEP!!!!🔥', 'free schlep', 'FREE SCHLEP']"
2,5598,2_the_this_fortnite_apple,"['the', 'this', 'fortnite', 'apple', 'to', 'video', 'and', 'is', 'intro', 'that']","['I feel like some folks might not understand the significance of the animation at the start so I\'ll explain!\nIn 1949, George Orwell published his sci-fi distopian book: Nineteen Eighty Four. The main thing of note about it is it\'s commentary about authoritarian governments. There are things like ""thought crimes"" and constant survailence by a cult-like totalitarian dictator known as ""Big Brother"". The book was a MASSIVE success, partly because of how people could connect some of the government\'s restrictions in the book to things that were happening in real life (and that\'s only gotten more relevant the more technology we have). The book was SO massive, in fact, that ""orwellian"" is a WORD it\'s adjective in the same way as something can be ""lovecraftian"" horror (something lovecraftian probably relates to eldrich, cosmic horror the way that something orwellian probably relates to government restriction and especially invasive technology. Those things are related to the works those authors wrote, and the themes those authors wrote about were so influential that they changed how people see entire genres and the WORLD they live in). \nAnyways, the idea of ""Big Brother"" became a symbol for something that has massive, authoritative, dictator-like power over a group of people and is misusing that power to the FULLEST.\nSo, now for what the animation reference is. The year is 1984 Apple was not yet the tech giant we know today. That title was held by IBM. Who is IBM? Not too important, they made personal computers and were the top dog at the time. Apple, was also making personal computers (and again, they were the little underdog here). Apple takes inspiration from Orwell\'s book and creates the VERY FAMOUS 1984 advertisement, where a single woman (representing Apple) revolts against Big Brother (representing IBM) by breaking into a propaganda meeting, chased by guards, and hurling a sledgehammer into Big Brother\'s massive monitor, stopping the propaganda messaging from reaching it\'s audience. Old CRT monitors WILL explode if you break the glass, so there\'s a big flash and sparks everywhere, it\'s very dramatic. I highly recommend just looking up the advert and watching it, it\'s only a minute long. Go get some media literacy.\nIn this context, we can see that Schlep is saying that Roblox is putting out propaganda to try and save their image. Roblox is the authoritarian power that is silencing any threat to their image by banning players, items, worlds, supporting the FreeSchlep movement. Is this a dramatic take on Roblox? Only if you see them as only a game company and not a power that endangers children, who should\'ve been protected by them, for money. Schlep then, is the underdog, going up against something far bigger than himself, putting a halt to the propaganda, and freeing the brainwashed public. Great animation.', 'I dont understand what is going on with a lot of these messages, but you do an amazing job Schlep. I deeply apologize for the times you had to go through in your childhood @RealSchlep and I am glad you are someone that even does this stuff. It should not lead to this at all on a child platform. This game, a game I have played for 8 years, from 2016 when I was 12 to now with me being 21, its been a game I have enjoyed due to not only being able to make friends to enjoying millions of different games at my fingertips. It hurts to see such a platform fall so low that it makes many people want to quit, even me. I want them to fix this asap, just to be able to enjoy this game and play this game with my family in a safer environment. Probably wont happen, but I have my hopes.', 'Love the Fortnite/Apple reference in the intro 👌 great video']"
3,4703,3_you_this_the_is,"['you', 'this', 'the', 'is', 'to', 'and', 'your', 'we', 'for', 'roblox']","['hey schlep, you may not see this but man. you are just. right... you did good things and roblox just banned you. it really gets me angry.. stay strong i will always support you', ""Schlep, you have all of our support. We will all back you up, no matter the situation. Keep fighting against what's wrong, and we will all help you through this incredibly stupid sh!t. We all love you man. Keep going. Show the world what Roblox truly is."", ""Dawn this is disgusting I hope the CEO of Roblox rots for this , I mean what in their right minds would use this disgusting business strategy to gain money! This is straight up revolting because as you all know this can devast a childs life and ruin the social and mental state but hopefully all will go well and thank you schlep for all the things you done and I'm sorry for your troubled past 😢 but I think you will have a great future so don't give up 🙏 and hopefully those greedy b*sterds will get some of their teeth knocked out 🤞so goodluck to you schlep you got this man 🤝🫡👍🙏""]"
4,4173,4_david_chris_hansen_matt,"['david', 'chris', 'hansen', 'matt', 'erik', 'is', 'the', 'he', 'to', 'this']","['P david', '#FREE_SCHLEP, L DAVID', 'We got Chris Hansen on this too. David is done for.']"
5,3979,5_ceo_new_the_to,"['ceo', 'new', 'the', 'to', 'be', 'need', 'and', 'they', 'we', 'of']","['Schlep should be the new ceo', 'Schlep for the the new Roblox CEO ❤🎉', 'Be the new ceo']"
6,3236,6_the_you_to_and,"['the', 'you', 'to', 'and', 'that', 'of', 'for', 'safety', 'is', 'are']","['I wish I could do more. 🙏\n\nYou earned a subscriber today! I’m so sorry for what happened to you, but echo the same as Mr. Hansen in that it takes so much courage to take what happened to you and use social media for a positive impact. \n\nI have 4 sons, 3 of which are on and have been on the Roblox platform since its inception. We have tried monitoring their accounts and keeping up with all of their friends, but Roblox is a never-ending hydra of a beast. Cut off one game or one account, 7 more show up in its place. 😩 So far, we’ve been lucky that nothing seems off with their experiences, but I don’t let my guard down.\n\nThe reason I am commenting here and subscribed to you is due to @EWU, actually. I am from FL, and the video about Christian Scribben/Marion County, FL showed up in my feed, so I watched and liked it. \n\nThank you, @YouTube algorithms for seeing the same “Christian Scribben” name in @Schlep ‘s video-and recommending it to me.\n\n_ANYONE_ that has kids on Roblox *needs* to see this video and go and check your children’s friends/chats/games for this kind of stuff and REPORT IT to the Marion County, FL Sheriff’s Office (for the “LostShadow” username only) and/or to the National Center for Missing and Exploited Children or the FBI (for other accounts/chats/MeepCity). \n\nI have a feeling Mr. Scribben’s and the other’s reach may have been MUCH MORE than what they admit to, and his first hearing on the matter is September 9th, 2025. If there is more evidence out there about these perpetrators, it needs to be reported ASAP. 🫶🙏\n\nThank you @Schlep for your courage and work on this video.', ""Hey, Shlep I really hope things go well for you dude. \n\nAs for what's happening, I had been a victim myself in the past (at least I was able to notice the patterns now and then. luckily I didn't go ahead and get kidnapped by these kinds of people but THIS IS still concerning) so hopefully something is done about this... Had multiple accounts I had forgotten thanks to this but now I'm sitting in the backseats. (Meaning I'm not completely cutting off Roblox -as I wanted to try a few things I never did aka myth hunt new myths, and so on so forth.- but not playing as much as I still worry for the people within it.)\n\nIf Roblox gets banned or bankrupt because of their idiocy into banning/sueing a potential safety leader, making guidelines that Shlep is being sued for that they suddenly bring up about vigilantes (even though we know he was doing this legally), AND SOOO MUCH MORE... Then... That's on them.  They should have done something different. To protect children on the platform to begin with that DOES NOT include bots... Real genuinely good people.\n\nTo everyone here who had been a victim too: hope y'all keep safe. Shlep here's a OG. \n\n(Apologies for the rant btw and if it doesn't make sense just saying I support you on your investigation!)"", 'people act on their own thoughts. Thoughts that end up as decision. A Predator doesn\'t not think about abusing children. Taking that first step of imagining the abuse of a child is more than enough incentive for people like schlep to destroy everything that predator has, removing their freedom as a man/women. \n\nWhy should those responsible not take a stand against predators? Non convicted Predators can live a life-time as a disgusting freak in secret. The people around them are completely unaware that they could be sitting next to literal Demon in the making. By the time that predator is old, or somewhere down the line, they will act but only if they can get away with it. \n\nAdult SA cases are already ""he said, she said"" enough. Committing it against a child is even worse. Everyone has trauma, some don\'t even know that they do since,  Everyone is unique in how they process it. I\'ve met Child Abuse survivors who\'ve went their whole lives unable to recognize their abuse since they were so young. Here\'s the scary part. From that perspective, Since the victim cant process it, and these assaults happen in secret,  It mine as well of never happened. Predators can literally ruin somebody\'s life so quick and unexpectedly that NOBODY would know.  Its been happening throughout history. These predators are running countries now with secret islands that evolved into the biggest trafficking scheme in history. This is the result of platforms like Roblox brick walling anti predator operation\'s.\n\nPeople like Schlep and Chris Hanson have found a way to identify these people before they commit any acts on a child. This is power that is being used for good. The predators signed their humanity away when deciding to engage with kids. Why should we treat them as anything but sub human?\n\nIf this life were balanced. we\'d un a live every predator we find but people allow them to keep their lives even when caught. Going to prison for Life is more than fair considering what everyone wants to happen to a convicted predator.']"
7,1692,7_kenji_the_that_this,"['kenji', 'the', 'that', 'this', 'is', 'mentioned', 'like', '105', 'you', 'in']","['KENJI', '1:04 KENJI', 'KENJI']"
8,979,8_law_mike_by_payleey,"['law', 'mike', 'by', 'payleey', 'you', 'is', 'lawbymike', 'lawyer', 'and', 'the']","['Law by Mike', 'W schlep and W law by mike', 'Law by Mike with you']"
