Topic,Count,Name,Representation,Representative_Docs
-1,140,-1_freeschlep_nish_ww_que,"['freeschlep', 'nish', 'ww', 'que', '199', 'nos', 'vdeos', 'uhhbygtfvfcdffvghh', 'uma', 'robloxsumuza']","['necesito que estos vídeos tengan subtitulos a español :(', 'y encima es una decepcion para mi pais (mexico)', 'haruss sama vtuber indo jg sih ini, bnyk kek pedofil']"
0,3661,0_roblox_to_and_you,"['roblox', 'to', 'and', 'you', 'the', 'for', 'is', 'this', 'of', 'banned']","['And why did roblox ban you?,Thank you for protecting kids on roblox.', ""It's very clear at this point that Roblox supports predators, and honestly, I wouldn't be surprised if the Roblox upper management are also predators. Everything Roblox people are doing is a huge red flag. I know my kids will never be back on Roblox again, that's for sure. Thank you, my dude, and all the people who make it possible to protect the kids. My kids are some of the kids you are saving from these sick, twisted monsters, and for that, I am truly grateful for what you all do."", 'Roblox YOU ???']"
1,3286,1_the_is_bro_that,"['the', 'is', 'bro', 'that', 'what', 'he', 'in', 'was', 'this', 'his']","['who was in the pfp?', 'i wanna know who the people in the pfp what did they do??', 'what game is this in the background?']"
2,2380,2_baba_you_this_for,"['baba', 'you', 'this', 'for', 'is', 'thank', 'are', 'hero', 'my', 'people']","['Thank you for all that you do Schlep, keeping the community safe you are a leader and you keep it that way.', 'These people are so disgusting thank you for keeping roblox community safe', 'Thank you for protecting me!']"
3,2286,3_he_predator_the_to,"['he', 'predator', 'the', 'to', 'like', 'and', 'guy', 'bad', 'nice', 'but']","['To me it’s honestly sad that this guy is a predator because on base he sounds like such a nice person even though he’s not. It makes me almost feel bad because I wish that he could’ve just been a normal person and none of this would’ve happened. :(', 'He sounds like a nice guy…..', 'The thing is that he actually sounds like a nice guy until he says things like this so the amount of people he could have tricked is just pretty scary']"
4,2070,4_intro_the_music_video,"['intro', 'the', 'music', 'video', 'voice', 'is', 'this', 'editing', 'so', 'fire']","['W intro', 'THAT INTRO', 'the intro was fire']"
5,1835,5_schlep_free_sclepp_schelp,"['schlep', 'free', 'sclepp', 'schelp', 'schlepfree', 'you', 'the', 'shlep', 'is', 'freeschlep']","['FREE SCHLEP', 'FREE SCHLEP', 'FREE SCHLEP']"
6,1479,6_and_was_he_to,"['and', 'was', 'he', 'to', 'me', 'the', 'my', 'it', 'she', 'that']","['I lowk thought this was a pred/pedo i had to deal with, I\'m 13 and he\'s around his 20\'s or so, his user is Steve_Bloks, luckily he\'s banned but i will tell u the entire story about him... So on my account Scout4L1F3 which is banned for now because of him, I decided to play a little bit of ""Warm Isolation"" it was fun and stuff, i was using my soundboard js for a lil bit of trolling and that\'s when Steve_Bloks came in, his display was ""Lua"" for some reason, idk, but his avatar was very feminine, IDK, but anyways, he said i was the only normal one, yk for chats, hanging out, ETC, we played for a while having fun and stuff until when he turned on his mic, and it was bad, now I\'m not trying to be racist or anything, but he sounded Indian and in his 20\'s now this made me feel like he was one of ""those"" pedos, because in the game, there are custom books you can get to have a title on it, the title for his book was ""r34"" or ""femboys"" this made me feel icky a lot, so I """"DISCONNECTED"""" and joined  dif server, and he started chatting me telling me to join back all in some feminy way, anyways, I rejoin, and I heard his full voice, and it was bad, after that, I blocked him, unfriended him, and never tried to go back to his account ever again. Luckily like I did say though he did get banned or js deleted his account but let me tell you something that you should look out for. Make sure when you talk to someone, examine the avatar and the actual name for the account, not the display, but actual, this is so that you know who you are talking to and to make sure you don\'t get fooled, sometimes it wont really work, but its the best option, make sure that it looks like they aren\'t trying to sweet talk you like by acting friendly or anything, this could often lead to you joining them in priv servers, and lastly, badges or creations, looking at the badges they have can tell you about the personality they have, it makes it so you know damn well who you are actually talking to, that\'s all I really know, hope this story can help you or anything like that. Stay safe out their Robloxians. -VintageDustSpeacks', 'Hi, so I went through something close to this about two years ago when I was 12, so I was on tiktok and someone followed me and  because I like to try and be nice i followed them back and he messaged me, at first it was innocent but then he asked me age and I said 12 and he then said ""oh well I\'m older"" when I asked his age he said 24 now you would think me as a 12 year old I would stop talking to him but I was still a little innocent and my survival instinct was and still is less than a deers but anyways he ask for my number and my dumb self actually gave it to him he also asked my name and I asked his he said his name but I\'m not sure I should say it I then proceed to send him a Pic of myself and he did the same I also gave him my school my mom\'s name age job but luckily I was smart enough to know not to give him my address now this is Jamaica but I grew up around people who mostly talk american so I did not understand what he meant when he said b**dy I thought he meant a dog it was not a dog so when he asked if I thought I could handle his b**dy I said yes luckily before he could do anything to me my mother stopped it last year he texted me but I just told him not to text me again and blocked him afterwards I thought I was in trouble so I called my mom and told her\n\n(If you think this is fake I don\'t blame you I still can\'t believe it happened either but it did also while I was talking to him a 11 year old texted me to join his Snapchat and I did  and someone in the group had a 13 year old friend that he introduced me to and this b!tch sent me a d!*k Pic as soon as I said hi he also tried to get me to send him a Pic so I sent him a Pic of me middle finger when I complained to the 24 year old he said ""at least he\'s in your age group"" when I told him it made me uncomfortable he said to block him and I think I did I forgot so yeah this happened to me when I was 12 innocent and naive)', 'Hello, this account is shared by the squad but I’d like to go anonymously.\n\nThis is a true story that happened to me\n———————————————————————\nSo this was a long time ago, I was 8 and I really loved Roblox. I also loved to try out new games and make friends. At the moment I was looking for something to play bc I was getting bored and wanted to find something fun to do! I searched up hangout games bc I wanted to make friends!  Anyways while I was in the game and I’m pretty sure it was a club game, I think you can see where I’m going with this.. a guy came up to me and said that I looked cool and wanted to be my friend. I said yes ofc and we were talk for a few weeks, he seemed so sweet and nice but little did I know what was coming next.. it was a normal day after school, I finished my homework so I went online to play with him. While we were talking though out this new week he was pretty weird and acted different from usual.. I was talking to him and then he asked me REALLY weird questions about my life, luckily I told my mom bc I had a weird feeling and when she read the messages she was disgusted by his acts. She blocked and unfriended him from my account and now I know more about internet safety. I will never get discord bc you never know what can happen on that platform.. ever since I’ve been trying to protect my younger friends from people like them, they feel like I’m a mom to them so I feel that if they’re parents aren’t gonna do anything I’ll step in and be the parent that WILL protect them from online harassment/predators..\n—————————————————————————————————————————————————————————————————————————————\nEverything I just said was a true story and I said this bc I want YOU ALL to know about this bc this is just another example of a predator that will use trust to get you to believe that their a nice person']"
7,608,7_jidion_pred_the_and,"['jidion', 'pred', 'the', 'and', 'he', 'is', 'to', 'like', 'this', 'preds']","['W JiDion and Schlep ❤', 'w jidion', 'W JiDion!']"
8,554,8_fresno_live_california_in,"['fresno', 'live', 'california', 'in', 'madera', 'now', 'town', 'like', 'my', 'from']","['I live in Fresno..', 'I live in fresno california.........', 'I live in Fresno California to ... 💀😨😰']"
9,181,9_decoy_the_decoys_to,"['decoy', 'the', 'decoys', 'to', 'that', 'voice', 'was', 'is', 'like', 'female']","['How old was the decoy', 'How old is the decoy', 'How of is the decoy']"
10,134,10_cinema_absolute_hi_respect,"['cinema', 'absolute', 'hi', 'respect', 'um', 'tum', 'ka', 'chow', 'holy', 'hahaha']","['Absolute Cinema', 'ABSOLUTE CINEMA', 'Absolute cinema']"
11,89,11_gubby_029_031_intro,"['gubby', '029', '031', 'intro', 'the', '028', 'why', '030', 'is', 'georgy']","['GUBBY!?!', 'gubby?', 'Gubby']"
12,86,12_pdf_pdfs_file_files,"['pdf', 'pdfs', 'file', 'files', 'and', 'to', 'like', 'the', 'so', 'this']","['So many pdf', 'Bro the pdf files discord voiceover thing just weirds me out it fits what a pdf file would sound like', 'This pdf files are actually disgusting']"
13,73,13_burrito_call_know_right,"['burrito', 'call', 'know', 'right', 'is', 'they', 'but', 'this', 'here', 'the']","['""i know they call you burrito but this is the burrito right here"" 💀💀', 'Burrito 😅😂', 'Burrito 💀']"
