cluster,rank,comment
0,1,"U save my life im a kid😁🎉"
0,2,"man this is to crazy😭"
0,3,"WTF 💀🙏"
0,4,"Bro I heard 13💀💀💀"
1,1,"28:45 that is crazy"
1,2,"27:45 wat the Heck bruhh?"
1,3,"28:58 WHAT???????!!!!!💀💀💀💀💀💀💀💀💀💀💀💀💀💀"
1,4,"7:20 WTF 😭🙏"
2,1,"Bro he like a normal person sound and innocent but uhmm hes uhmmmm he doing bad thing"
2,2,"This guy sounded so chill and fun to be around😢, too bad he had horrible intentions and disgusting thoughts"
2,3,"It surprised me how that dude was rlly calm, honest and direct abt the situation 🫢"
2,4,"Bro, that guy is scary. The way he got comfy enough to admit to JiDion he would let the little girl try we3d to shoot her down shows how mad he is. Thank you for your service, Schlep."
3,1,"Man i honestly feel bad for these PREDATORS of ruining their life just to talk to underaged teenagers or kids😢"
3,2,"It's amazing how far you guys go to catch these predators and get them off the internet where many younger kids are on without any adults moderating what they do and really keep the community just a bit more safer for kids around my age, You guys are truly amazing people. ❤"
3,3,"I was assaulted by predators on discord at a very young age -Still can’t get over it. Watching these types of videos is triggering me but i feel happy that you are protecting young kids. Thank you."
3,4,"As a barely teen girl, I used to online date in the same game. Now that I look back at my younger self, I know this was wrong and younger me knew it was also wrong. This is what scares me now, thanks for protecting young children and exposing these predators."
4,1,"THE INTRO HOLY SHIT THATS SICK"
4,2,"OH MY GOD THE INTRO??"
4,3,"THE INTRO IS SICK AS ALWAYS!!!!"
4,4,"THE INTRO IS AMAZING BRO"
5,1,"FREE SCHLEP"
5,2,"free schlep"
5,3,"Free schlep"
5,4,"Free Schlep"
6,1,"Roblox needs to get banned."
6,2,"Roblox need to be banned from some people"
6,3,"This my first time seeing this guy and roblox hates this after doing the right thing at this point roblox is not even safe one of my friends suffer from that and I stepped in to see his deal. @Schlep keep doing you 👍"
6,4,"Srry to say this but ROBLOX IS A PROTECTIVE PREDATOR that’s why Roblox banned you pls we need you schlep pls survive this schlep"
