Topic,Count,Name,Representation,Representative_Docs
-1,8170,-1_the_roblox_to_and,"['the', 'roblox', 'to', 'and', 'you', 'this', 'is', 'of', 'they', 'for']","[""This is sad, Roblox is literally helping out horrible people while they leave people that are trying to literally stop these bad people drowning in false accusations. Roblox at this point is just desperate for people who make them money, even though they are a MULTI-BILLION DOLLAR CORPORATION. If another company has to step in to take down a horrible game that ROBLOX SHOULDV'E (especially SEGA), then you aren't doing your job. Everyone clowns on Roblox Moderation, but honestly, why are they just clowning on Roblox Moderation, the entire Roblox Corporation is a circus with each act being different events that make them panic, so it keeps happening, and happening, and happening, until they crash.\n\n-- I know this was a lot of stuff that was already said a million times, but it's just too important to stop saying and remembering. --"", ""If this is the case they need to sue flamingo too. He got a cult following too. He has the strongest cult following. He got kids eating out of his hands. He doesn't even care about his fans. Their  money to him. and all i got to say  is AlbertsStuff.. he Deleted the channel when he got called on them videos. For all kinds of shit. No one blinked a eye on that. I never even heard of you. so how much trouble could you have been making. i follow a lot of roblox drama channels. Never heard your name until the lawsuit.  I don't see this going in roblox favor at all. so many people and parents have tried and tried to call roblox out on it shit. How they need to separate these grown people from the kids. If they want to catch more pedo just join a chat server. They are out control. Thats happening on their severs. Grown ass people hitting on kids. Kids acting like they're grown themselves. They don't even moderate these chat severs. I hear racist, sex talk, swearing, giving out phone numbers. You can find it all in these severs now.  Them sex games was everywhere and newsflash roblox them sex games are still on your servers. You get to the name of game from a special discord to know where they are.  i have been playing on roblox since 2008 and nothing has changed, but the dumb words they hashtag. The dumb bans they give people. The ignore the people they should be banning, and coming for people who said yes. Also Albert had a video up to where he was playing a sex offender. Roblox moderator aloud a shirt through that said he was a sex offender. All these videos can still be found on youtube they just have to look. AlbertsStuff video have reuploaded many times. I know he wasn't too bad but he was bad enough for a grown man on a what people call a kids games. And can we stop calling it a kids game now lol there ages 5-50 on this game. I met 50 year old people playing this game. I know someone right now 42 years old playing as they are 16 to people . This happening more than people know, also.  I mean i could go on and on about roblox. their cons out weight their pros. But because they got so much money no one can call their bull shit. Their making a example of you. Dont  u give into this shit either. I been watching you videos. I see nothing wrong with it. Who cares about light trolling. Shit the internet is nothing but a light troll lol. You stand your ground and know their people out here that know you're 100 percent in the right. I'm not even a fan of you and i called bull shit the moment i heard all this."", 'Oh wow,know i know that roblox doesn\'t care about us,when there\'s a child predator they dont ban them unless there\'s limited proof or when somebody has a user name that puts roblox in a position of being sued,do you see them being banned? Ofc because all roblox cares about is literal ""MONEY"",theres litteral harassment going on like online daters,child predators and pedophiles and they get banned ofc,BUT WHEN ITS AN ADMIN ROBLOX DECIDES TO PROTECT THE ADMIN INSTEAD OF THE VICTIM, anyways by ""roblox only cares about money"" i meant if you report something bad happening nothing happens and nobody gets banned BUT WHEN THEY GET SUED FOR MONEY THEY IMMEDIATELY FIX THAT PROBLEM LIKE WTF ROBLOX,that just proves that roblox needs to care more about safety and security instead of money,money isnt power money doesn\'t buy you happiness you cant buy friends with money,what im saying is a billionaire company has low safety and security yet they dont even care about their security all they care about is money,its always money that drives people to insanity,only real companies care more about their customers/players while roblox sits there rolling in money not giving a litteral fuck to their players,after all these years i thought roblox would be an amazing online platform but here we are, we\'re failing and all others are going to a downfall,is this really it? We just randomly get harassed and they don\'t give a fuck about whats happening while other companies ban or atleast kick the bully out of the game for a while to teach them lessons']"
0,6870,0_roblox_the_and_is,"['roblox', 'the', 'and', 'is', 'to', 'they', 'of', 'that', 'this', 'for']","[""wait with that worker they are blaming you for that im fucking confused why is ROBLOX suing you  its so dumb that they even are trying to get money and the fact that they let a fucking pedo stay on site even though they have rules about shit off platform(witch is very stupid in it self) the fact that there suing you for shit you have no relation to you have the advantage this fact has tainted the way I see ROBLOX as a whole if ok I don't play it really but now this is just going to ruin a already crumbling company people are finding out shit from years ago from ROBLOX's past and now its coming to bite them in a ass"", 'We older players knew that this was going to happen at one point, there is to many adult rp happening on Roblox be it on random games not designed for it or special designed once. And like you said there is discord server’s for this shit, and I don’t get why Roblox doesn’t just get rid off the people doing this while teay know the people who are doing what, but instead teay keep them and try to get rid of the people trying to bring this to a end. It wuld look a lot better on Roblox if teay got rid off teays offenders, I have even in a game seen a moderator for the game not care about the adult rp going on and when I asked a female frend off mine who played that game a lot longer than me said that it is normal, so that’s a big problem for me so I don’t play it anymore. I also don’t want my children or only child to play Roblox alone, since I have played games on Roblox for so long I know that it’s not save for children, so I joke around whif my frends saying “what if Roblox made an official adult platform and a child’s platform so it’s separate” but making that wuld take to mutch effort and the people going after young kids won’t go to the separate one for adults because teay are dirty scums that want little kids, whitch is u exseptebol and it’s time for it to change it has been time for ages I blody hope that it’s finally going to happen, but knowing and seeing how big cooperation’s handel this and Roblox has so far I think that Roblox is just going to fix there problems bye feeding lawsuits to everyone who’s got the guts to speak up against this all. Good luck to all of you people who will be silenced by the lawsuits. (And sorry for the grammar errors I’m quite dislectic )', 'Okay this shit is actually pissing me off, first of all why would they sue someone ACTIVELY TRYING to expose people like MrObvious and the guy that made Sonic Eclipse, the fact that  they look at your account and look at theirs and said "" Hmm let\'s ban the person trying to somewhat help ROBLOX, yeahh let\'s sue him. "" It is so fucking stupid that they gave you the reason of off platform misbehavior BUT GIVE LITTLE TO -100 SHITS ABOUT SOMEONE WANTING TO R@PE A 12 YEAR OLD GIRL.\nThe fact they make you sound like the arising if Satan or the end of the entire platform is absolutely numbskull, I\'m not even gonna talk about the horny ass developer thats a whole different can of worms. The actual fact they probably let Sonic Eclipse\'s dev have a word on the platform is so childish, they probably just kept them on just so they can have that cut of their money. THE ACTUAL THOUGHT THAT SEGA HAD TO GET INVOLVED TO GET THE ACCOUNT BANNED JUST FOR THE MAIN MONEY ROOT FOR DOC TO GET UNBANNED IS IDIOTIC THAT EVEN A BABY MAKES IT SEEM LIKE ALBERT EINSTINE. \nAnother thing is the fact they give main money bringers have 30+ chances like how Preston has broken the TOS 4 times now and ROBLOX just changes the TOS to make a warp around for him JUST BECAUSE PRESTON MAKES MILLIONS PER DAYS AND ROBLOX GETS NEARLY 1/3 OF THAT. David Bazuki I am so sorry but the fact that you got proven to commit tax evasion and now get caught SUING someone for 0 fucking reason is illiterate.\nHonestly Ruben, if you somehow have the money to pull up they are gonna be fucking shivering and quivering, best of luck to you bro.']"
1,1517,1_ruben_sim_lawyer_rubens,"['ruben', 'sim', 'lawyer', 'rubens', 'you', 'thank', 'win', 'this', 'for', 'to']","['Thank you ruben sim lawyer', 'thank you ruben sim lawyer', 'Thank you ruben sim lawyer']"
2,1352,2_you_this_to_the,"['you', 'this', 'to', 'the', 'lawyer', 'sue', 'they', 'for', 'court', 'and']","['if you win the case you can also sue for defamation', ""I honestly don't know how you could lose this case, mega corporation or not. The fact that they're even trying to go through with this is absolutely fucking disgusting. The sheer amount of lies and false accusations is just absurd. Makes me wonder why the company has such a hate on for you. If you somehow do not win this case, you can bet your ass the entire community is gonna go up in flames, because nobody is going to be happy about it."", 'Once you win this, sue them back. You will win if you show all the evidence they need.']"
3,633,3_you_win_hope_man,"['you', 'win', 'hope', 'man', 'this', 'luck', 'case', 'support', 'best', 'bro']","[""I hope you'll win this."", 'i hope you win this', 'Hope you win this man']"
4,627,4_freerubensim_freeruben_justiceforruben_fuckroblox,"['freerubensim', 'freeruben', 'justiceforruben', 'fuckroblox', 'masterpiece', 'freerubinsim', 'saveruben', 'its', 'mistake', 'saverubensim']","['#FREERUBENSIM', '#FREERUBENSIM', '#FreeRubenSim']"
5,502,5_this_oh_is_up,"['this', 'oh', 'is', 'up', 'fucked', 'history', 'they', 'fucking', 'no', 'why']","['This is fucked up....', 'What is this?', 'this is so fucked up']"
6,380,6_video_911_videos_this,"['video', '911', 'videos', 'this', 'the', 'long', 'vid', 'is', 'to', 'next']","['When is the next video', 'The time is 911 for this video 😳', 'THE VIDEO IS 911']"
7,357,7_cybermob_mob_cyber_im,"['cybermob', 'mob', 'cyber', 'im', 'part', 'of', 'am', 'the', 'apart', 'be']","['i cybermob', 'cybermob', 'me is cybermob :0\ncybermob cybermob cybermob cybermob cybermob cybermob cybermob']"
8,287,8_part_episode_parts_when,"['part', 'episode', 'parts', 'when', 'ep', 'ep2', 'where', 'other', 'next', 'the']","['Part 2 when?', ""When's part 2?"", 'When is part 2']"
9,243,9_views_16_million_likes,"['views', '16', 'million', 'likes', 'subs', 'mil', '16m', 'you', 'money', 'dollars']","['1.6 million views', '1.6 Million Views', '1.6 million views']"
10,72,10_ebic_ew_male_sigma,"['ebic', 'ew', 'male', 'sigma', 'very', 'not', '', '', '', '']","['ew-', 'Sigma male', 'not very ebic']"
11,70,11_de_que_por_un,"['de', 'que', 'por', 'un', 'espaol', 'pipepino', 'kamu', 'esto', 'en', 'se']","['Roblox cambia y se convierte en vez de un sitio de entretenimiento..en un monopolio donde el que hable mal sobre dentra seria consecuencia', 'che flaco aun que no able español tambien te entiendo ami me banearon de tiwch por un moderador de los cosingamers le dio la gana solo por que dije hola 2 veses', 'Tranquilo yo te apoyo aunque me enteré 3 semanas después me gusta Roblox gracias a pipepino se de ti y SI ROBLOX LEE ESTO NO PUEDO CREER QUE UN JUEGO A SI DE FAMOSO TENGAN MODERADORES CORRUPTO Y DEMANDAR A ALGUIEN POR TAL ESTU..DES ES INCREIBLE\nPostd: Nunca pensé que un juego así se concentrará en una estu..des en vez de los hacker y estafadores del juego si esto sigue así lo dejaré de jugar y también le diré a mis amigos lo corruptos que son y que cualquier crítica de mis amigo a ustedes, no me lo creo estoy tan decepcionada de ROBLOX ☹️😭😠😢😣😫']"
12,67,12_gofundme_start_you_fund,"['gofundme', 'start', 'you', 'fund', 'donate', 'me', 'help', 'to', 'go', 'or']","['you should start a gofundme so you can get good lawyers and etc', 'start a gofundme for the best lawyer', 'if you get sued start a gofundme']"
13,51,13_furry_porn_nude_desert,"['furry', 'porn', 'nude', 'desert', 'nudes', 'the', 'of', 'that', 'he', 'on']","['it all started with furry porn', 'this is definitely from furry porn man dont let furry porn man win dude', 'It’s all because of the furry porn guy']"
