Topic,Count,Name,Representation,Representative_Docs
-1,29,-1_www_hype_webvideoproduktion_adana,"['www', 'hype', 'webvideoproduktion', 'adana', 'akl', 'brehblox', 'basna', 'bangerrrrrr', 'banrandome', 'freeshlap']","['WWW', 'bunu adana kürkçülere transfer edin sislensin aklı basına gelsin', 'salah satu hal yg polisi indonesia mustahil lakuin 😂']"
0,2133,0_and_roblox_to_was,"['and', 'roblox', 'to', 'was', 'the', 'this', 'of', 'you', 'for', 'that']","['(This is a controversial question and I am autistic, I’m just asking out of wanting to understand more..)\nI’d like to start off by saying I am in no way saying these people are innocent, because what they are doing is very wrong, illegal, disgusting.. but I’d like to ask… “you were able to walk away anytime” maybe it’s because I try my best to see the good in people but.. the bad ones who NEED to be locked up would run.. the ones who realize their mistakes and get their wake up call would want to change and are all for change, but are then handed over to the police.. while yes they do have to pay for their crimes.. won’t they just feel frustrated when in jail..? I guess that is what you are trying to teach them, they should be frustrated with their decisions because it’s not right.. but if he chose to leave.. he wouldn’t have been talking to you guys, which means he would’ve gotten away… or would you chase after them? I’m just voicing my thoughts out there.. please don’t take this as me defending any of these people..\n\nThat being said! Please keep doing what you’re doing! Maybe roblox will finally put an end to all this..', 'When I was 12 I was on pls donate running around and doing stuff then I met this bacon guy with a mask and duck plushie, he complimented my avatar and then we clicked. Soon I friended him and he asked me to join bedwards, we had lots of fun and he even showed me how to play the game! Which was sweet. At the end he sent me a message saying “You’re the best ❤❤❤“ (yes with the heart emojis) I didn’t think too much of it till I left. During that period of gaming I was multitasking doing a test online when I returned back to Roblox, it shook me a bit that this guy was still online. But not playing any games. Immediately I joined catalog avatar creator, he joined me as well. We exchanged pleasantries and then he asked me to join him in a different private server, He showed off his duck avatar he made and hey I love ducks! So I wanted to match. We messed with it for a while before I had to leave and go back to my other task. He was like “why?”  I was actually stunned. He even asked me WHERE I was going. I cleared up my doubts and said I was studying for exams before leaving. Then I joined a little while later, to my surprise again he was online but still not playing any games. That’s when I dug. I noticed that his friend count that I noticed that was originally up to 69 friends was now down to 1 friend. Which was me. It flattered me but also confused me. Either way I joined a game flicker and wasn’t suprised anymore when he joined me. When I met em. He said “he doesn’t like this game” and that let’s play something else. So I joined him in catalog avatar creator again. He made me wear a matching duck outfit and at the time I was too nice to refuse. After that I had to leave again.  The next time I joined again he was online not playing any games. Now I couldn’t join any of the games my other friends were playing as I was scared he’d come there and make a scene. After a few moments of this back and forth weird behaviour. He told me his age. And I had to tell him mine. I lied about my age at the time. Then he started dropping hints that he liked me. When I politely declined he tried bribing me with Robux and that he was a developer of a game and YouTuber. I was like “WE DONT EVEN KNOW EACH OTHER” so he forced me to join bedwars so we “get to know each other “ i joined then left, then immediately unfriended him. I was a bit guilty after this. But I’m glad I’m free :)', 'I never got groomed (well .. i think i was a couple times. ) because I was a smart kid. But here is a story close to that, I was still a 9-year-old. But I was exposed to explicit content at a young age, at 4. I understand that you may not believe that, but I was. I was hypersexual and liked that stuff, because I was shown it at a young age. I got introduced to this game called Roblox. At only 6, at that time i would online date people my age. But never older, when i turned 9 i knew what discord and apps like that were, i was pretty mature for my age. I knew there were bad people and would do stuff with them in games but never actually text them. Until one day, i found a boy and was talking to him. At the time i just wanted friends and nothing more. Then he asked for my... ""Blue app"". I did wonder what it is, so I asked him, and he said it was something called... Discord. I already knew what discord was, so i said ""YES!"". Because new way to connect with friends, right? I added him and we started talking. He asked for my age, and i knew he was older and didn\'t want him to stop being my friend because i was younger, i said i was 15, but he said he was TWENTY. I thought he was like 16, but still he said it was fine. He would donate me robux and stuff, and he was super nice to me. UNTILL.. He started hitting on me. And either way, hes still twenty, and i lied and said i was 15 right? Still a minor. Although i knew the dangers, i went along with it. Soon i got guilty and told him i was 9, when i did he said, ""even better"". I was confused, why? He asked me for something called n*de33 I knew what it was and sent them. HE said he wanted to meet up, and way telling me all the stuff he wanted to do to me. He said he\'d send my pictures to everyone if i didnt go along with it, i said fine.. i was threatened. After that he sent me an audio of him... Doing that stuff, then he asked where i lived. Turns out we lived in whole different parts of countries, so he decided not to meet up with me. I blocked him, but who knows. My pictures could be uploaded anywhere.']"
1,1556,1_the_song_intro_is,"['the', 'song', 'intro', 'is', '2054', 'music', 'bro', 'at', 'that', 'not']","['4:02 what song is that?', 'What song is at 3:59', 'What song is at the end of the video?']"
2,1399,2_bro_face_video_the,"['bro', 'face', 'video', 'the', 'gooning', 'you', 'reveal', 'is', 'to', 'this']","['I love your work bro keep it up', 'the gooning video😭💔', 'schlep trying not to laugh at the gooning video😭✋']"
3,752,3_schlep_free_is_schelp,"['schlep', 'free', 'is', 'schelp', 'fine', 'cute', 'so', 'looks', 'kinda', 'handsome']","['W Schlep!', 'W SCHLEP', 'W schlep']"
4,700,4_voice_smiling_friends_the,"['voice', 'smiling', 'friends', 'the', 'charlie', 'like', 'from', 'sounds', 'sound', 'actor']","['Why does the pred sound like Charlie from smiling friends', 'Why the pred sound like Charlie from the smiling friends 😂😂😂', 'the voice of the pred sounds like the voice of charlie from smiling friends']"
5,652,5_he_bad_the_him,"['he', 'bad', 'the', 'him', 'to', 'his', 'feel', 'but', 'like', 'in']","['i get that hes a pedophile and that is wrong but i do feel kinda bad he did seem like he was willing to change and actually get help', 'I think bro might have an actual like intellectual disability. You can see he tics when he looks up and move his neck.  He does the same thing over and over. Now given that, he could be faking it. What gets me is the way he blatantly excepts that he was grooming minors, but jokes as if he doesn’t get why it’s so wrong. Like he can comprehend right from wrong but doesn’t understand the weight of the situation in the slightest. Like if it’s the same thing as eating a sweet before dinner when you mom told you no and then she caught you. Idk I’m not a doctor or anything of the sort so don’t take me too seriously.', ""I'm happy to see him actually feeling bad and guilty which is rare in pedos and admitting his crimes and now he's in jail i hope he gets the help he needs\n\nEdit: just saying that by the help he needs I meant a therapist or someone to talk to him while he's in jail and I don't feel bad for him at all because he did this with multiple girls especially he knows it's wrong that's all I want to say I was just happy to see him admitting instead of dodging or trying to run away""]"
6,414,6_12_she_was_age,"['12', 'she', 'was', 'age', 'said', 'decoy', 'old', 'the', 'you', 'is']","['SHE SAID SHE WAS 12', 'SHE SAID SHE WAS 12😂', 'She said she was 12!!!']"
7,377,7_jidion_and_the_is,"['jidion', 'and', 'the', 'is', 'to', 'he', 'them', 'schlep', 'how', 'like']","['w jidion and schlep', 'W Jidion', 'W JiDion']"
8,321,8_live_virginia_in_mall,"['live', 'virginia', 'in', 'mall', 'to', 'state', 'this', 'va', 'close', 'that']","['I live in Virginia 😭😭😭😭', 'I live in Virginia 🥀🥀😔', 'I live in Virginia💀💀💀💀💀']"
