Topic,Count,Name,Representation,Representative_Docs
-1,113,-1_freeschelp_freeschlep_nish_que,"['freeschelp', 'freeschlep', 'nish', 'que', 'nos', 'thy', 'uhhbygtfvfcdffvghh', 'tout', 'tn', 'robloxsumuza']","['FREESCHELP', 'FREESCHELP', '@freeschelp']"
0,4153,0_the_intro_is_this,"['the', 'intro', 'is', 'this', 'that', 'bro', 'music', 'was', 'what', 'video']","['bro the roblox intro was so cool', 'The intro is so fire', 'WHY IS THE INTRO SO FIRE?!?!!']"
1,3539,1_roblox_to_and_you,"['roblox', 'to', 'and', 'you', 'the', 'for', 'is', 'this', 'banned', 'of']","['This is the stuff Roblox banned you for?', ""the crazy fact about roblox is that it's a kids game but NOT save at all i was playing a game called brookhaven once and once you join that game you'll get overloaded by weird people trying to link up with you, i was 10 years old when i found out about sexual stuff all that bs i feel like roblox should do way more to protect the kids and yeah ofc they can't always be sure and all that but all they do is terminate their account they can easily make new ones but on a diffrent device this is why i think roblox shouldn't be a kids game anymore there's also so much violence it's insane ."", 'Thank u for doing this and your friends help it is a shame on what Roblox responded to get him  ban I just looks like Roblox supports this and they claim “they  take kids safety first” or like “kids safety is first” and even with the poof it took a long time to get him ban it is disgusting and u should keep doing this and you are probably saving more kids when Roblox it is sad to see what they said yall are amazing ❤']"
2,3008,2_he_the_like_to,"['he', 'the', 'like', 'to', 'and', 'this', 'is', 'guy', 'so', 'predator']","['It’s really sad cause the first guy sounds really wholesome. Sure he did dumb stuff and he’s sick. I’m not defending him. But he sounds like he could be a really cool guy to be around and hang out with if he wasn’t a predator.', 'The crazy thing is that in the call he sounds like a nice guy but really he’s a pred', 'I am NOT AT ALL saying that what he did is ok because it is NOT I just think he seems like a guy that WAS nice and was somehow broken that is kinda sad I mean like it couldve never come to him even doing something horrible like this and he couldve lived a happy normal life. alone that in the end he talked so open about it shows that he is good on the INSIDE but He isnt that person anymore. I pray for something like this to never happen again. Amen.']"
3,2360,3_you_for_this_thank,"['you', 'for', 'this', 'thank', 'is', 'are', 'and', 'the', 'my', 'to']","['I don\'t even have word to describe this. The best word here would probably be disgusting. This guy knew what he was doing was wrong, and yet he STILL did it because he was lonely? What the hell is actually wrong with some of these people?! It disgusts me that Roblox banned someone who made their app safer, because he was ""ruining their public image"" what you and JiDion are doing is amazing. You\'re making this world safer for children. Some of these predators are absolutely disgusting and sick to the head.', 'Thank you for what you do', ""It's very clear at this point that Roblox supports predators, and honestly, I wouldn't be surprised if the Roblox upper management are also predators. Everything Roblox people are doing is a huge red flag. I know my kids will never be back on Roblox again, that's for sure. Thank you, my dude, and all the people who make it possible to protect the kids. My kids are some of the kids you are saving from these sick, twisted monsters, and for that, I am truly grateful for what you all do.""]"
4,1821,4_schlep_free_sclepp_schelp,"['schlep', 'free', 'sclepp', 'schelp', 'schlepfree', 'you', 'is', 'the', 'shlep', 'freeschlep']","['FREE SCHLEP ❤', 'FREE SCHLEP', 'Free schlep']"
5,1148,5_and_was_to_he,"['and', 'was', 'to', 'he', 'me', 'my', 'the', 'she', 'it', 'of']","['Um. So this incident recently just happened. I met 2 people in a Roblox game and 1 was a boy and the other was a girl. We talked for a bit and they said their ages, 14 turning 15. The girl told the boy that they would look good together, he responded with lol. Which I kind of questioned, but I didn’t say anything. So we all added each other and made a group chat and that was it. Two days later, she told us that she had something to tell us and she said she was 22 years old. So me wanting to be a criminal prosecutor when I grow up, I went off on her. Then the boy private messaged me and told me that he couldn’t believe it. He didn’t know what to do and also that she told him other stuff as well. That same day we all met, but I had left early. So he said when I was gone, she said stuff like, he was cute, he made her blush, and that they would look good together. So I went back to the group chat and confronted her saying let’s hop on vc. She questioned it, but I told her wanting a clear explanation and answer isn’t weird. But she refused. Then she told us it was all a joke saying she saw it on social media, which I find funny because I never seen any video with someone pretending to be an older person talking to a minor as a joke. I told her that is not funny AT ALL and that kids are truly affected by this, and which the boy had told me in private message that he was traumatized. And the day after of meeting them, I heard her voice when she said hi and the first thing I thought of is that she sounded way older, but I didn’t question it at the time. I reported her three times already, but of course Roblox won’t do anything about it. (PLEASE SOMEONE READ THIS HER USER IS: Itsyagirltiti02) THANKS', 'Hello, this account is shared by the squad but I’d like to go anonymously.\n\nThis is a true story that happened to me\n———————————————————————\nSo this was a long time ago, I was 8 and I really loved Roblox. I also loved to try out new games and make friends. At the moment I was looking for something to play bc I was getting bored and wanted to find something fun to do! I searched up hangout games bc I wanted to make friends!  Anyways while I was in the game and I’m pretty sure it was a club game, I think you can see where I’m going with this.. a guy came up to me and said that I looked cool and wanted to be my friend. I said yes ofc and we were talk for a few weeks, he seemed so sweet and nice but little did I know what was coming next.. it was a normal day after school, I finished my homework so I went online to play with him. While we were talking though out this new week he was pretty weird and acted different from usual.. I was talking to him and then he asked me REALLY weird questions about my life, luckily I told my mom bc I had a weird feeling and when she read the messages she was disgusted by his acts. She blocked and unfriended him from my account and now I know more about internet safety. I will never get discord bc you never know what can happen on that platform.. ever since I’ve been trying to protect my younger friends from people like them, they feel like I’m a mom to them so I feel that if they’re parents aren’t gonna do anything I’ll step in and be the parent that WILL protect them from online harassment/predators..\n—————————————————————————————————————————————————————————————————————————————\nEverything I just said was a true story and I said this bc I want YOU ALL to know about this bc this is just another example of a predator that will use trust to get you to believe that their a nice person', 'Story 1.\n\nHey schlep, not sure if u can catch this predator or this guy is a predator a few years ago, i was playing apex legends with my brother and a guy randomly approached me (btw his user was Mr_Noob) i had vc and he had too so we started chatting. I was 10 by the time, and i wanted friends. He started chatting with me day by day. One day, he asked me for my number and i refused. Then, he gave me his number. We started texting and he always said how he really wanted to make me pregnant and have kids. He sent me a GIF of a woman on top of a man and more innapropriate stuff. He was 25, and saying at the age of 9 i would be a perfect girlfriend, and he even asked me where i live. Of course i didnt say anything. Then he suddenly wanted to facetime... He kept calling me over and over... I responded and he actually looked kinda crappy. He looked like this guy from this video but not exactly like it. He told me he was from Pakistan, and he wanted to meet me irl. I blocked him after that. Still scared of predators...\nStory 2.\nI was just doing some fxf (fxf means follow x follow basically u follow someone\'s channel and they follow u back) and this one guy, he was a minor tho, started texting me. It was worse than i thought. I had to get my parents involved. He wouldnt leave me alone, and he would say that he is sorry and he loves me. He sent me n*ked GIFs from where he could find. I still have his number tho, but if hes a minor i cant do anything (He is 14 or 15)\nWell, things got worse. He actually asked me for my location, face, and sent me a lot of sus emojis. And he actually told me how he really wants to make kids with me. I was uncomfortable and everytime i told him to f*ck off and leave me alone, he would say ""im sorry beautiful, im truly sorry..~""\nI never forgave him. He even tried to stalk me.\n\nIm just telling this story for everyone to hear, maybe they have some similar stories!\n\n From schlep, i just learned a few things i want to tell everyone:\n1. Even if somebody called you pretty but u met the person online, dont accept it as a compliment, the person is trying to gather all your trust and trick you.\n2. NEVER SHARE YOUR PERSONAL DATA! Even your location can cause danger. Please dont give your location to strangers.\n3. If you dont know who to call for help, call your parents. Your parents know better and will help you.\n4. Block the person! Yes, i agree, many persons love attention but, its a dangerous thing.\n5. NEVER SHOW YOUR FACE!! I did but, hey i was kinda lonely back then and i needed some friends, but please dont do that because its kind of dangerous...\n\nRoblox isnt a safe platform anymore. David promised its a safe game to play, but looks like now, its not anymore..\n#FREESCHLEP!!\n\nStay safe yall']"
6,694,6_pfp_shirt_who_golf,"['pfp', 'shirt', 'who', 'golf', 'the', 'profile', 'his', 'tyler', 'is', 'picture']","['Who is that on his pfp', 'Who was the guy as his pfp ?', 'who was the guy in the pfp?']"
7,630,7_live_fresno_california_in,"['live', 'fresno', 'california', 'in', 'madera', 'now', 'my', 'town', 'like', 'from']","['I LIVE IN FRESNO', 'I LIVE IN FRESNO CALIFORNIA WHAT THE....', 'I live in fresno california.........']"
8,412,8_jidion_the_and_to,"['jidion', 'the', 'and', 'to', 'is', 'him', 'he', 'with', 'of', 'this']","['W jidion', 'W JIDION', 'W JiDion!']"
