Topic,Count,Name,Representation,Representative_Docs
-1,5887,-1_and_the_to_this,"['and', 'the', 'to', 'this', 'you', 'is', 'roblox', 'that', 'he', 'of']","['I love that u are doing stuff like this but when he asked if this wasn’t going on the internet and u said no u have to be careful with that because if he does eventually find this vid he can do something about that im not sure but he might be able to sue so just be careful dont that much love tysm for doing this', 'I’m currently 15, I was once playing roblox with my cousin (I was around 10 at that time) then suddenly this random guy came up to us and just uttered “ur cute”,  I was like bro what I don’t even know you 😭🙏 \n\nYou literally  only saw my damn avatar, he kept following me so I just straight up left, but of course this creep had my username remembered so whenever I was online he would see it and keep on joining me (I was new to roblox at that time, I had the setting anyone can join you in a game, friends or not but I didn’t realise at that time) my cousin noticed and helped me turn this damn setting off and block + report him too.\n \nLiterally the most annoying experience I have ever had and I think even at this TIME he still is not banned, roblox management can not be real like.', 'why is your fake age censured? my monkey brain deducated that u told him that she was 16 and if i remember correctly this guy is 20 years old. maybe am gonna be like the biggest ahh hole here but 4 years isnt that big of a difference i mean its weird for sure but i know few people that are like this or even bigger age difference and this just seems unfair to the guy. he is weird af, sending nudes to random girls like this is disgusting but if you bait him and say ""thats hot"" and stuff like that ofc he will continue. am at 23mins and i feel so bad for the guy and thats like the first time i am seeing a ""predator"" being caught and not geting his ah beating up and its also my first time feeling sorry for the guy because he is obviously just lonely weird man and u tell him its not gonna be on the internet and so on, then you go and absolutely destroy his life for trying to find a girlfriend. he is ending himself for sure in the jail. if the fake girl was younger then 16 am sorry i just dont know the age.']"
0,4083,0_he_the_and_to,"['he', 'the', 'and', 'to', 'was', 'is', 'this', 'that', 'like', 'but']","['I\'ve also been like dat 2 timess so 1st one is that I was playing adopt me and one guy trade me and he didn\'t say anything and I say hello? And he say hi and i say what do you want to offer and he say ""you"" and it was awkward and i thought it will jst be those pickup line that ppl jst say randomly to others and I didn\'t know what to say and he talk to me back and say can u say ""daddy"" and I will give u free pet and i thought it was funny so i say ok and I said ""daddy "" and we keep chatting and he actually gave me the pet and he asked how old am i and I said you say first and he say I\'m 18 and I said I\'m younger than u and he say it\'s alr so i say my age and he was like it\'s ok I don\'t care abt the age and I say oo ok and he ask me if I have any social media and I say ya and he ask and I say instagram so he asked my user and I say my user is ****** I gave him my alt acc as i don\'t want him to know my actual account so he add me and he say if u voice over and say ""daddy"" again I will give u another free pet and I was nervous and not wanting to do but he keep telling me to do and I keep saying wait and he say do u want to know the other task and i was like oh sure and he say WITH THE SOME CONFIDENCE ""send me a pic of ur chest or ur p***y or ur gyattt "" and I was SHOCKED and he say ""plsss i will give u anything you want jst send me pic  I will even  give u robux pls jst send me "" AND I WAS SHOCKED SO I SAID F YOU AND BLOCK HIM \nThats all the story if y\'all want the 2nd story get me 20 likes😁', ""Something like this happened to me too like 3 months ago, but in other game. He also said he was 20 years old like the predator did in this video. He asked my age but I don't reveal my exact age, I just say I'm still in high school. You know what, he asked me to chat in other platform like Whatsapp, Discord or Telegram after I just told him my age! A normal 20 years old would not reply after that, it makes me scared to open the game and I just straight up block him. I'm just glad that I have awareness about something like this"", ""It's absolutely horrible...\n\nBut I have to admit that watching these videos, I'm REALLY glad that Schlep and JiDion have that sort of 'interview' moment with the predators, cause man do you learn a lot. You really get to see what's going on sometimes, and I've always found the criminal-to-reason thing very interesting (as disturbing as it is...)\n\nLike, fessing up that he started doing this after the break up, you can hear how absolutely insecure he is... And like, of course that's not an excuse, but you'll hear this fact with so many other predators, or other criminals, and especially with killers, how there's often some kind of reason (it's often severe trauma, especially from their parents and ESPECIALLY with serial killers).\n\nThere's like,,, almost always this 'something' that makes them go down that dark path. \n\nLike I said, certainly not an excuse, but very interesting. Once you hear it, you just keep seeing it. Though I will say, it seems like a lot of predators DO use their insecurities and anxieties as an excuse and definitely seem a little too willing to do so.\n\nI didn't really watch Schlep's videos until the roblox situation happened, and truly, he and JiDion are doing amazing work. It's horrible that Roblox would rather try (and miserably fail) to protect its image over making the platform safer. Roblox could have actually started looking great if they did take those reports seriously, if they HELPED these people take down these predators. \n\nBut they just had to take the wrong path, now didn't they :')""]"
1,3421,1_the_intro_is_jidion,"['the', 'intro', 'is', 'jidion', 'this', 'to', 'music', 'bro', 'that', 'was']","['This intro is fire!', 'WHAT? THAT INTRO IS SO GOOD. W TO THE GUY THAT DOES THE INTROS ♡♡♡', 'WHY IS THE INTRO SO FIRE?!?!!']"
2,2724,2_schlep_free_baba_sclepp,"['schlep', 'free', 'baba', 'sclepp', 'you', 'hero', 'for', 'the', 'is', 'thank']","['free schlep!', 'Free schlep', 'FREE SCHLEP']"
3,2053,3_roblox_is_the_to,"['roblox', 'is', 'the', 'to', 'and', 'you', 'for', 'this', 'banned', 'game']","['So this is the man Roblox is trying to sue', 'And why did roblox ban you?,Thank you for protecting kids on roblox.', 'Crazy how roblox trying to sue the hero of roblox']"
4,448,4_fresno_live_california_in,"['fresno', 'live', 'california', 'in', 'madera', 'now', 'like', 'from', 'my', 'town']","['I live in Fresno..', 'I LIVE IN FRESNO CALIFORNIA WHAT THE....', 'I live in fresno california.........']"
5,178,5_burrito_mexican_chasing_black,"['burrito', 'mexican', 'chasing', 'black', 'big', 'que', 'latinochrome', 'guy', 'they', 'called']","['Burrito 💀', '""i know they call you burrito but this is the burrito right here"" 💀💀', '""I know they call you burrito, but like this is the burrito right here"" 😭😭😭😭😭😭']"
6,39,6_wear_capes_heroes_batman,"['wear', 'capes', 'heroes', 'batman', 'cape', 'all', 'not', 'heros', 'hero', 'wears']","['Not all heroes wear capes', 'Not all heroes wear capes 🌟🩷', 'Not all heroes wear capes']"
7,15,7_nepali_nepaliincel_3528_3527,"['nepali', 'nepaliincel', '3528', '3527', 'nepal', 'dude', 'swear', 'im', 'did', 'omg']","[""Wtf Nepali incel ahhell nawh I'm Nepali 35:27"", ""35:28    as a Nepali. I apologise for this guy's actions and that he's no longer a Nepali"", 'Wait if that acc name said nepali shouldn’t they have 1000 gods and beaver do anything bad i only know bc my family is Nepali']"
8,14,8_2025_2026_in_whos,"['2025', '2026', 'in', 'whos', 'here', 'who', 'pedo', 'planche', 'dystopia', '2050']","['2025: pedo\n2026:  pedo gay', 'Who is watching in 2025 👇🏻', 'Whos here in 2025']"
